date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-03-15,sz.300295,14.2138700000,15.4543532000,14.2138700000,15.3509796000,8.7867560000,6821773,390459756.5100,2,63.754888,1,74.705890,43.810577,13.802977,76.682054,16.476459,0
2012-03-16,sz.300295,14.1751049000,14.4412919200,13.8158816400,13.8158816400,15.3509796000,5155963,279069225.9000,2,48.186570,1,-10.000000,39.429520,12.422679,69.013849,14.828813,0
2012-03-19,sz.300295,13.4411523400,14.8030995200,13.4385680000,14.2888158600,13.8158816400,4548793,249639522.7600,2,42.512084,1,3.423100,40.779239,12.847923,71.376276,15.336421,0
2012-03-20,sz.300295,14.1621832000,14.3172436000,13.3584534600,13.5419416000,14.2888158600,2757824,147289113.8500,2,25.774056,1,-5.227000,38.647715,12.176364,67.645448,14.534789,0
2012-03-21,sz.300295,13.5962127400,13.6944176600,12.1877474400,12.4048320000,13.5419416000,3169395,154764576.5600,2,29.620514,1,-8.396900,35.402487,11.153921,61.965296,13.314310,0
2012-03-22,sz.300295,12.2239282000,12.6322539200,12.2239282000,12.3273018000,12.4048320000,1347891,64780852.2500,2,12.597112,1,-0.625000,35.181221,11.084209,61.578013,13.231096,0
2012-03-23,sz.300295,12.3479765200,12.5598924000,12.1748257400,12.4177537000,12.3273018000,1310580,62900494.8000,2,12.248411,1,0.733800,35.439364,11.165539,62.029843,13.328179,0
2012-03-26,sz.300295,12.4048320000,12.4306754000,11.6166083000,12.0094279800,12.4177537000,1376668,63877581.6800,2,12.866056,1,-3.288200,34.274033,10.798390,59.990152,12.889917,0
2012-03-27,sz.300295,11.9835845800,12.7407962000,11.7845904000,12.4591031400,12.0094279800,1987519,95011352.2600,2,18.574944,1,3.744400,35.557373,11.202719,62.236394,13.372560,0
2012-03-28,sz.300295,12.2239282000,12.3169644400,11.2134512600,11.2418790000,12.4591031400,2117815,95143176.6500,2,19.792664,1,-9.769800,32.083504,10.108241,56.156050,12.066094,0
2012-03-29,sz.300295,11.2056982400,11.3555899600,10.7301796800,11.2754754200,11.2418790000,1591035,67985550.6800,2,14.869486,1,0.298900,32.179385,10.138449,56.323872,12.102153,0
2012-03-30,sz.300295,11.1643488000,11.3194092000,10.4665770000,10.5957940000,11.2754754200,1272276,53301157.0500,2,11.890430,1,-6.028000,30.239624,9.527307,52.928691,11.372640,0
2012-04-05,sz.300295,10.6500651400,10.9886136800,10.6500651400,10.9576016000,10.5957940000,976904,41027479.0100,2,9.129944,1,3.414600,31.272197,9.852630,54.736012,11.760974,0
2012-04-06,sz.300295,10.8800714000,11.2909814600,10.6371434400,11.1901922000,10.9576016000,1355279,57732611.5700,2,12.666159,1,2.122600,31.935993,10.061766,55.897861,12.010617,0
2012-04-09,sz.300295,11.0583908600,11.4925599800,10.9317582000,11.3710960000,11.1901922000,1596058,69510339.4700,2,14.916430,1,1.616600,32.452280,10.224427,56.801522,12.204784,0
2012-04-10,sz.300295,11.1617644600,11.9008857000,10.9498485800,11.8311085200,11.3710960000,1509102,66923390.4900,2,14.103757,1,4.045500,33.765122,10.638052,59.099401,12.698523,0
2012-04-11,sz.300295,11.5519998000,11.9396508000,11.5261564000,11.6346986800,11.8311085200,1052609,47782464.0300,2,9.837467,1,-1.660100,33.204582,10.461448,58.118284,12.487714,0
2012-04-12,sz.300295,11.6295300000,11.7484096400,11.5468311200,11.7406566200,11.6346986800,713579,32235049.5600,2,6.668963,1,0.910700,33.506979,10.556721,58.647571,12.601440,0
2012-04-13,sz.300295,11.6967228400,11.9396508000,11.5519998000,11.6967228400,11.7406566200,1048007,47531483.6000,2,9.794458,1,-0.374200,33.381595,10.517218,58.428111,12.554285,0
2012-04-16,sz.300295,11.6553734000,11.7354879400,11.3245778800,11.3245778800,11.6967228400,775619,34464335.1800,2,7.248776,1,-3.181600,32.319520,10.182600,56.569152,12.154856,0
2012-04-17,sz.300295,11.2625537200,11.6941385000,11.0635595400,11.6036866000,11.3245778800,1066940,47083973.4800,2,9.971402,1,2.464600,33.116076,10.433563,57.963371,12.454428,0
2012-04-18,sz.300295,11.6605420800,11.7716687000,11.5028973400,11.6682951000,11.6036866000,844335,38074796.3100,2,7.890981,1,0.556800,31.872411,9.942399,5.232826,3.925528,0
2012-04-19,sz.300295,11.6682951000,12.1463980000,11.6553734000,11.9293134400,11.6682951000,1052070,48643791.0000,2,9.832430,1,2.237000,32.585393,10.164810,5.349883,4.013342,0
2012-04-20,sz.300295,11.8362772000,11.9939219400,11.7845904000,11.8491989000,11.9293134400,713109,32779830.2800,2,6.664570,1,-0.671600,32.366557,10.096545,5.313955,3.986389,0
2012-04-23,sz.300295,11.7975121000,11.8052651200,10.7560230800,10.8361376200,11.8491989000,1441870,62511584.8200,2,13.475421,1,-8.549600,29.599340,9.233329,4.859632,3.645568,0
2012-04-24,sz.300295,10.9188365000,10.9576016000,10.1822996000,10.5957940000,10.8361376200,861925,35310828.4400,2,8.055374,1,-2.218000,28.942832,9.028535,4.751846,3.564710,0
2012-04-25,sz.300295,10.6991676000,10.7198423200,10.4924204000,10.7069206200,10.5957940000,442116,18163255.4300,2,4.131925,1,1.048800,29.246378,9.123225,4.801683,3.602096,0
2012-04-26,sz.300295,10.7275953400,10.9576016000,10.7275953400,10.7534387400,10.7069206200,425671,17856458.2400,2,3.978234,1,0.434500,29.373444,9.162862,4.822544,3.617746,0
2012-04-27,sz.300295,10.8025412000,11.1074933200,10.8025412000,10.8542280000,10.7534387400,415195,17610132.1300,2,3.880327,1,0.937300,29.648754,9.248744,4.867745,3.651654,0
2012-05-02,sz.300295,11.0118727400,11.2082825800,10.9317582000,11.0170414200,10.8542280000,595861,25516047.8000,2,5.568794,1,1.500000,30.093486,9.387475,4.940761,3.706429,0
2012-05-03,sz.300295,11.0092884000,11.9990906200,10.9317582000,11.7199819000,11.0170414200,1231143,55007305.6800,2,11.506009,1,6.380500,32.013595,9.986441,5.256006,3.942917,0
2012-05-04,sz.300295,11.5726745200,11.6605420800,11.4227828000,11.5985179200,11.7199819000,869168,38791418.0600,2,8.123065,1,-1.036400,31.681812,9.882943,5.201533,3.902053,0
2012-05-07,sz.300295,11.5158190400,11.7923434200,11.4357045000,11.7587470000,11.5985179200,839402,37800286.9300,2,7.844879,1,1.381500,32.119484,10.019472,5.273390,3.955959,0
2012-05-08,sz.300295,11.7716687000,11.7794217200,11.5571684800,11.5778432000,11.7587470000,591540,26654893.9900,2,5.528411,1,-1.538500,31.625338,9.865327,5.192261,3.895098,0
2012-05-09,sz.300295,11.5003130000,11.5158190400,11.1901922000,11.2599693800,11.5778432000,567809,24880379.9700,2,5.306626,1,-2.745500,30.757053,9.594471,5.049706,3.788156,0
2012-05-10,sz.300295,11.2341259800,11.4253671400,11.1255837000,11.2082825800,11.2599693800,573439,25019830.4900,2,5.359243,1,-0.459000,30.615868,9.550429,5.026526,3.770768,0
2012-05-11,sz.300295,11.2108669200,11.2677224000,10.9576016000,10.9576016000,11.2082825800,501740,21541409.4800,2,4.689159,1,-2.236600,29.931123,9.336827,4.914104,3.686432,0
2012-05-14,sz.300295,11.0583908600,11.2858127800,10.9317582000,11.0480535000,10.9576016000,679993,29278465.3200,2,6.355075,1,0.825500,30.178196,9.413900,4.954669,3.716862,0
2012-05-15,sz.300295,10.9834450000,11.2392946600,10.9059148000,11.1695174800,11.0480535000,435156,18699428.7200,2,4.066879,1,1.099400,30.509980,9.517398,5.009141,3.757726,0
2012-05-16,sz.300295,11.1901922000,11.2160356000,10.9576016000,10.9576016000,11.1695174800,339492,14529951.1900,2,3.172822,1,-1.897300,29.931123,9.336827,4.914104,3.686432,0
2012-05-17,sz.300295,10.9317582000,11.0997403000,10.8309689400,11.0480535000,10.9576016000,337023,14327831.5500,2,3.149748,1,0.825500,30.178196,9.413900,4.954669,3.716862,0
2012-05-18,sz.300295,10.9834450000,11.3323309000,10.8800714000,11.0997403000,11.0480535000,688754,29738563.2900,2,6.436953,1,0.467800,30.319381,9.457941,4.977849,3.734251,0
2012-05-21,sz.300295,11.1128150000,11.1128150000,10.4617347800,10.7833527200,11.0997411000,431142,17880768.9100,2,4.029364,1,-2.850400,29.112253,9.081385,4.779662,3.585577,0
2012-05-22,sz.300295,10.8461074400,10.9376247400,10.7911970600,10.9036326000,10.7833527200,180126,7492163.1200,2,1.683421,1,1.115400,29.436977,9.182681,4.832975,3.625571,0
2012-05-23,sz.300295,10.9768464400,10.9768464400,10.6160068000,10.6892206400,10.9036326000,353013,14509042.0500,2,3.299187,1,-1.966400,28.858121,9.002111,4.737938,3.554277,0
2012-05-24,sz.300295,10.6630728400,10.7990414000,10.6160068000,10.6421546000,10.6892206400,197483,8073076.8400,2,1.845636,1,-0.440300,28.731055,8.962473,4.717077,3.538627,0
2012-05-25,sz.300295,10.6343102600,10.7179832200,10.4068244000,10.4068244000,10.6421546000,283414,11420563.1100,2,2.648729,1,-2.211300,28.095724,8.764286,4.612768,3.460377,0
2012-05-28,sz.300295,10.3859061600,10.4068244000,9.9387787800,10.2107159000,10.4068244000,312901,12112391.8400,2,2.924308,1,-1.884400,27.566282,8.599130,4.525844,3.395169,0
2012-05-29,sz.300295,10.2603967200,10.4800382400,10.2107159000,10.4329722000,10.2107159000,265460,10546412.1400,2,2.480935,1,2.176700,28.166317,8.786306,4.624358,3.469071,0
2012-05-30,sz.300295,10.4565052200,10.6369250400,10.4329722000,10.4826530200,10.4329722000,293516,11857227.9700,2,2.743140,1,0.476200,28.300442,8.828146,4.646378,3.485591,0
2012-05-31,sz.300295,10.4983417000,10.7859675000,10.3466844600,10.6630728400,10.4826530200,406644,16479935.8000,2,3.800411,1,1.721100,28.787529,8.980090,4.726349,3.545582,0
2012-06-01,sz.300295,10.6656876200,10.7415162400,10.4721939000,10.4904973600,10.6630728400,272767,11052600.8500,2,2.549224,1,-1.618400,28.321620,8.834752,4.649855,3.488199,0
2012-06-04,sz.300295,10.3231514400,10.3231514400,10.0224517400,10.0224517400,10.4904973600,273390,10628900.7500,2,2.555047,1,-4.461600,27.058018,8.440580,4.442397,3.332569,0
2012-06-05,sz.300295,10.0250665200,10.4852678000,10.0250665200,10.4460461000,10.0224517400,523104,20629639.2100,2,4.888822,1,4.226500,28.201613,8.797317,4.630153,3.473419,0
2012-06-06,sz.300295,10.4303574200,10.5088008200,10.2499376000,10.2970036400,10.4460461000,262003,10396741.3000,2,2.448626,1,-1.426800,27.799237,8.671798,4.564090,3.423860,0
2012-06-07,sz.300295,10.4068244000,10.4591200000,10.2028715600,10.2342489200,10.2970036400,275812,10907974.6000,2,2.577682,1,-0.609400,27.629815,8.618948,4.536275,3.402994,0
2012-06-08,sz.300295,10.4068244000,10.6107772400,10.2630115000,10.4408165400,10.2342489200,382989,15280997.3500,2,3.579336,1,2.018400,28.187494,8.792913,4.627835,3.471680,0
2012-06-11,sz.300295,10.5323338400,10.5846294400,10.3336105600,10.5767851000,10.4408165400,332041,13299937.5900,2,3.103187,1,1.302300,28.554574,8.907421,4.688102,3.516891,0
2012-06-12,sz.300295,10.5375634000,10.6892206400,10.3806766000,10.5584816400,10.5767851000,397498,15982039.4800,2,3.714935,1,-0.173100,28.505159,8.892006,4.679989,3.510805,0
2012-06-13,sz.300295,10.6683024000,11.1049706600,10.6029329000,11.0762080800,10.5584816400,757779,31559041.3500,2,7.082047,1,4.903400,29.902886,9.328019,4.909468,3.682954,0
2012-06-14,sz.300295,10.9323951800,11.2174062000,10.9062473800,11.2043323000,11.0762080800,792284,33525262.3300,2,7.404523,1,1.156800,30.248789,9.435921,4.966259,3.725557,0
